,Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Annees,mois,trimestre,Marge_relative,Taux_profit_estime,Quantity,Ratio_Qte_Sales,délais livraison
494,495,US-2017-120929,2017-03-18,2017-03-21,second class,RO-19780,rose o'brian,consumer,united states,memphis,tennessee,38109,south,FUR-TA-10001857,furniture,tables,balt solid wood rectangular table,189.882,2017,3,1,0.22929936305732485,0.00010454367377228359,1,0.005266428624092857,3 days
496,497,CA-2017-126158,2017-07-25,2017-07-31,standard class,SC-20095,sanjit chand,consumer,united states,costa mesa,california,92627,west,OFF-BI-10002498,office supplies,binders,clear mylar reinforcing strips,119.616,2017,7,3,0.31683168316831684,6.585719595298908e-05,1,0.00836008560727662,6 days
498,499,CA-2017-126158,2017-07-25,2017-07-31,standard class,SC-20095,sanjit chand,consumer,united states,costa mesa,california,92627,west,FUR-CH-10002602,furniture,chairs,dmi arturo collection mission-style design wood chair,241.568,2017,7,3,0.052287581699346414,0.00013300052762148598,1,0.004139621141873095,6 days
499,500,CA-2017-126158,2017-07-25,2017-07-31,standard class,SC-20095,sanjit chand,consumer,united states,costa mesa,california,92627,west,FUR-FU-10000073,furniture,furnishings,deflect-o glasstique clear desk accessories,69.3,2017,7,3,0.5555555555555556,3.8154625464337076e-05,1,0.01443001443001443,6 days
500,501,US-2017-105578,2017-05-30,2017-06-04,standard class,MY-17380,maribeth yedwab,corporate,united states,parker,colorado,80134,west,OFF-BI-10001670,office supplies,binders,vinyl sectional post binders,22.62,2017,5,2,0.027906976744186046,1.2453934026021712e-05,1,0.044208664898320066,5 days
501,502,US-2017-105578,2017-05-30,2017-06-04,standard class,MY-17380,maribeth yedwab,corporate,united states,parker,colorado,80134,west,OFF-BI-10001658,office supplies,binders,gbc standard therm-a-bind covers,14.952,2017,5,2,0.033707865168539325,8.232149494123635e-06,1,0.06688068485821295,5 days
503,504,US-2017-105578,2017-05-30,2017-06-04,standard class,MY-17380,maribeth yedwab,corporate,united states,parker,colorado,80134,west,OFF-BI-10000831,office supplies,binders,storex flexible poly binders with double pockets,2.376,2017,5,2,0.21951219512195122,1.3081585873486996e-06,1,0.4208754208754209,5 days
506,507,CA-2016-145352,2016-03-16,2016-03-22,standard class,CM-12385,christopher martinez,consumer,united states,atlanta,georgia,30318,south,OFF-AR-10001662,office supplies,art,rogers handheld barrel pencil sharpener,2.74,2016,3,1,0.036231884057971016,1.5085667211007733e-06,1,0.36496350364963503,6 days
507,508,CA-2016-145352,2016-03-16,2016-03-22,standard class,CM-12385,christopher martinez,consumer,united states,atlanta,georgia,30318,south,OFF-AR-10003856,office supplies,art,newell 344,8.34,2016,3,1,0.20270270270270271,4.591768778824981e-06,1,0.11990407673860912,6 days
508,509,CA-2016-145352,2016-03-16,2016-03-22,standard class,CM-12385,christopher martinez,consumer,united states,atlanta,georgia,30318,south,OFF-ST-10001228,office supplies,storage,personal file boxes with fold-down carry handle,46.74,2016,3,1,0.26315789473684215,2.5733725746076695e-05,1,0.021394950791613177,6 days
510,511,CA-2018-135307,2018-11-26,2018-11-27,first class,LS-17245,lynn smith,consumer,united states,gladstone,missouri,64118,central,FUR-FU-10001290,furniture,furnishings,executive impressions supervisor wall clock,126.3,2018,11,4,0.14563106796116507,6.953721783760133e-05,1,0.007917656373713382,1 days
511,512,CA-2018-135307,2018-11-26,2018-11-27,first class,LS-17245,lynn smith,consumer,united states,gladstone,missouri,64118,central,TEC-AC-10002399,technology,accessories,sandisk cruzer 32 gb usb flash drive,38.04,2018,11,4,0.10526315789473684,2.0943751120683727e-05,1,0.026288117770767613,1 days
513,514,CA-2018-163405,2018-12-21,2018-12-25,standard class,BN-11515,bradley nguyen,consumer,united states,los angeles,california,90049,west,OFF-AR-10003811,office supplies,art,newell 327,6.63,2018,12,4,0.16666666666666666,3.6502910076270535e-06,1,0.15082956259426847,4 days
514,515,CA-2018-163405,2018-12-21,2018-12-25,standard class,BN-11515,bradley nguyen,consumer,united states,los angeles,california,90049,west,OFF-AR-10001246,office supplies,art,newell 317,5.88,2018,12,4,0.07352941176470588,3.237362160610418e-06,1,0.17006802721088435,4 days
516,517,CA-2018-127432,2018-01-22,2018-01-27,standard class,AD-10180,alan dominguez,home office,united states,great falls,montana,59405,west,OFF-ST-10004507,office supplies,storage,advantus rolling storage box,51.45,2018,1,1,0.12000000000000001,2.832691890534116e-05,1,0.019436345966958212,5 days
517,518,CA-2018-127432,2018-01-22,2018-01-27,standard class,AD-10180,alan dominguez,home office,united states,great falls,montana,59405,west,OFF-PA-10001667,office supplies,paper,great white multi-use recycled paper (20lb. and 84 bright),11.96,2018,1,1,0.07042253521126761,6.584838680425273e-06,1,0.08361204013377926,5 days
520,521,CA-2016-157812,2016-03-22,2016-03-26,standard class,DB-13210,dean braden,consumer,united states,houston,texas,77041,central,OFF-ST-10000736,office supplies,storage,carina double wide media storage towers in natural & black,129.568,2016,3,1,0.04278074866310161,7.133648646700182e-05,1,0.0077179550506297845,4 days
521,522,CA-2016-157812,2016-03-22,2016-03-26,standard class,DB-13210,dean braden,consumer,united states,houston,texas,77041,central,OFF-BI-10000285,office supplies,binders,xtralife clearvue slant-d ring binders by cardinal,14.112,2016,3,1,0.1935483870967742,7.769669185465004e-06,1,0.07086167800453515,4 days
522,523,CA-2018-145142,2018-01-23,2018-01-25,first class,MC-17605,matt connell,corporate,united states,detroit,michigan,48234,central,FUR-TA-10001857,furniture,tables,balt solid wood rectangular table,210.98,2018,1,1,0.25477707006369427,0.00011615963752475953,1,0.004739785761683572,2 days
523,524,US-2017-139486,2017-05-21,2017-05-23,first class,LH-17155,logan haushalter,consumer,united states,los angeles,california,90032,west,TEC-PH-10003555,technology,phones,motorola hk250 universal bluetooth headset,55.176,2017,5,2,0.06629834254143646,3.0378349417319805e-05,1,0.01812382195157315,2 days
524,525,US-2017-139486,2017-05-21,2017-05-23,first class,LH-17155,logan haushalter,consumer,united states,los angeles,california,90032,west,TEC-AC-10003832,technology,accessories,imation 16gb mini traveldrive usb 2.0 flash drive,66.26,2017,5,2,0.005914088096884653,3.648088720442965e-05,1,0.015092061575611227,2 days
525,526,CA-2016-158792,2016-12-26,2017-01-02,standard class,BD-11605,brian dahlen,consumer,united states,lawrence,massachusetts,1841,east,OFF-FA-10002815,office supplies,fasteners,staples,22.2,2016,12,4,0.43859649122807015,1.2222693871692395e-05,1,0.04504504504504505,7 days
528,529,US-2016-138303,2016-09-03,2016-09-07,standard class,MG-18145,mike gockenbach,consumer,united states,philadelphia,pennsylvania,19134,east,OFF-ST-10004963,office supplies,storage,eldon gobal file keepers,36.336,2016,9,3,0.10434782608695652,2.000557678026193e-05,1,0.027520915896081022,4 days
531,532,CA-2016-102848,2016-11-07,2016-11-09,second class,KB-16240,karen bern,corporate,united states,los angeles,california,90036,west,FUR-CH-10000595,furniture,chairs,safco contoured stacking chairs,190.72,2016,11,4,0.038277511961722493,0.00010500505293735017,1,0.005243288590604027,2 days
532,533,US-2018-129441,2018-09-07,2018-09-11,standard class,JC-15340,jasper cacioppo,consumer,united states,los angeles,california,90032,west,FUR-FU-10000448,furniture,furnishings,tenex chairmats for use with carpeted floors,47.94,2018,9,3,0.2727272727272727,2.6394411901303306e-05,1,0.020859407592824366,4 days
534,535,CA-2017-168753,2017-05-29,2017-06-01,second class,RL-19615,rob lucas,consumer,united states,montgomery,alabama,36116,south,OFF-BI-10002557,office supplies,binders,presstex flexible ring binders,22.75,2017,5,2,0.2450980392156863,1.2525508359504595e-05,1,0.04395604395604396,3 days
535,536,CA-2017-126613,2017-07-10,2017-07-16,standard class,AA-10375,allen armold,consumer,united states,mesa,arizona,85204,west,OFF-ST-10001325,office supplies,storage,sterilite officeware hinged file box,16.768,2017,7,3,0.048484848484848485,9.231987875699915e-06,1,0.05963740458015267,6 days
537,538,CA-2016-147851,2016-12-03,2016-12-08,standard class,MP-17470,mark packer,home office,united states,new york city,new york,10009,east,OFF-BI-10004528,office supplies,binders,cardinal poly pocket divider pockets for ring binders,10.752,2016,12,4,0.26666666666666666,5.91974795083048e-06,1,0.09300595238095237,5 days
538,539,CA-2016-134894,2016-12-07,2016-12-11,standard class,DK-12985,darren koutras,consumer,united states,henderson,kentucky,42420,south,OFF-AP-10001271,office supplies,appliances,eureka the boss cordless rechargeable stick vac,152.94,2016,12,4,0.16129032258064516,8.42044504836322e-05,1,0.006538511834706421,4 days
540,541,CA-2015-140795,2015-02-01,2015-02-03,first class,BD-11500,bradley drucker,consumer,united states,green bay,wisconsin,54302,central,TEC-AC-10001432,technology,accessories,enermax aurora lite keyboard,468.9,2015,2,1,0.2857142857142857,0.0002581631151548002,1,0.0021326508850501172,2 days
541,542,CA-2017-136924,2017-07-14,2017-07-17,first class,ES-14080,erin smith,corporate,united states,tucson,arizona,85705,west,TEC-PH-10002262,technology,phones,lg electronics tone+ hbs-730 bluetooth headset,380.864,2017,7,3,0.761904761904762,0.00020969297652019154,1,0.0026256091413207868,3 days
543,544,CA-2015-103849,2015-05-11,2015-05-16,standard class,PG-18895,paul gonzalez,consumer,united states,fort worth,texas,76106,central,TEC-AC-10001465,technology,accessories,sandisk cruzer 64 gb usb flash drive,58.112,2015,5,2,0.049079754601227,3.199482821044093e-05,1,0.01720814977973568,5 days
544,545,CA-2015-103849,2015-05-11,2015-05-16,standard class,PG-18895,paul gonzalez,consumer,united states,fort worth,texas,76106,central,TEC-PH-10002597,technology,phones,xblue xb-1670-86 x16 small office telephone - titanium,100.792,2015,5,2,0.16666666666666669,5.549323246466757e-05,1,0.009921422335105961,5 days
546,547,CA-2018-162929,2018-11-19,2018-11-22,first class,AS-10135,adrian shami,home office,united states,new york city,new york,10035,east,OFF-BI-10000404,office supplies,binders,avery printable repositionable plastic tabs,41.28,2018,11,4,0.3582089552238806,2.2727603739795592e-05,1,0.024224806201550386,3 days
547,548,CA-2018-162929,2018-11-19,2018-11-22,first class,AS-10135,adrian shami,home office,united states,new york city,new york,10035,east,OFF-PA-10002986,office supplies,paper,xerox 1898,13.36,2018,11,4,0.047619047619047616,7.355639194856325e-06,1,0.07485029940119761,3 days
548,549,CA-2016-113173,2016-11-15,2016-11-17,second class,DK-13225,dean katz,corporate,united states,chicago,illinois,60653,central,OFF-ST-10000604,office supplies,storage,home/office personal file carts,250.272,2016,11,4,0.2553191489361702,0.00013779270453406303,1,0.003995652729829945,2 days
549,550,CA-2016-113173,2016-11-15,2016-11-17,second class,DK-13225,dean katz,corporate,united states,chicago,illinois,60653,central,OFF-BI-10004738,office supplies,binders,flexible leather- look classic collection ring binder,11.364,2016,11,4,0.08,6.256697889996054e-06,1,0.0879971840901091,2 days
550,551,CA-2016-113173,2016-11-15,2016-11-17,second class,DK-13225,dean katz,corporate,united states,chicago,illinois,60653,central,OFF-SU-10001935,office supplies,supplies,staple remover,8.72,2016,11,4,0.29411764705882354,4.80098606131341e-06,1,0.1146788990825688,2 days
553,554,CA-2018-101945,2018-11-24,2018-11-28,standard class,GT-14710,greg tran,consumer,united states,houston,texas,77070,central,OFF-FA-10004248,office supplies,fasteners,advantus t-pin paper clips,10.824,2018,11,4,0.16901408450704225,5.9593891201440765e-06,1,0.09238728750923873,4 days
555,556,CA-2015-155852,2015-03-03,2015-03-07,second class,AJ-10945,ashley jarboe,consumer,united states,wilmington,north carolina,28403,south,OFF-AR-10003560,office supplies,art,zebra zazzle fluorescent highlighters,19.456,2015,3,1,0.1927710843373494,1.0711924863407535e-05,1,0.05139802631578948,4 days
556,557,CA-2017-113243,2017-06-10,2017-06-15,standard class,OT-18730,olvera toch,consumer,united states,los angeles,california,90045,west,OFF-LA-10001297,office supplies,labels,avery 473,20.7,2017,6,2,0.08333333333333333,1.1396836177659126e-05,1,0.04830917874396135,5 days
558,559,CA-2017-113243,2017-06-10,2017-06-15,standard class,OT-18730,olvera toch,consumer,united states,los angeles,california,90045,west,OFF-PA-10003441,office supplies,paper,xerox 226,32.4,2017,6,2,0.09689922480620154,1.7838526191118632e-05,1,0.0308641975308642,5 days
559,560,CA-2018-118731,2018-11-20,2018-11-22,second class,LP-17080,liz pelletier,consumer,united states,san francisco,california,94110,west,FUR-FU-10003347,furniture,furnishings,coloredge poster frame,42.6,2018,11,4,0.14285714285714288,2.345435851054487e-05,1,0.023474178403755867,2 days
562,563,CA-2015-145576,2015-09-14,2015-09-18,second class,CA-12775,cynthia arntzen,consumer,united states,tampa,florida,33614,south,FUR-FU-10004020,furniture,furnishings,advantus panel wall acrylic frame,13.128,2015,9,3,0.15,7.227906538179179e-06,1,0.07617306520414381,4 days
564,565,CA-2016-130736,2016-12-07,2016-12-09,first class,JF-15490,jeremy farry,consumer,united states,seattle,washington,98105,west,OFF-LA-10000634,office supplies,labels,avery 509,2.61,2016,12,4,0.08064516129032256,1.4369923876178898e-06,1,0.3831417624521073,2 days
565,566,CA-2018-137099,2018-12-07,2018-12-10,first class,FP-14320,frank preis,consumer,united states,los angeles,california,90008,west,TEC-PH-10002496,technology,phones,cisco spa301,374.376,2018,12,4,0.09523809523809522,0.00020612086670759964,1,0.0026711113960296603,3 days
566,567,CA-2018-156951,2018-10-01,2018-10-08,standard class,EB-13840,ellis ballard,corporate,united states,seattle,washington,98105,west,OFF-PA-10004530,office supplies,paper,personal creations ink jet cards and labels,91.84,2018,10,4,0.28571428571428575,5.0564513746677015e-05,1,0.010888501742160278,7 days
568,569,CA-2018-156951,2018-10-01,2018-10-08,standard class,EB-13840,ellis ballard,corporate,united states,seattle,washington,98105,west,OFF-PA-10004451,office supplies,paper,xerox 222,19.44,2018,10,4,0.14423076923076925,1.070311571467118e-05,1,0.05144032921810699,7 days
569,570,CA-2018-156951,2018-10-01,2018-10-08,standard class,EB-13840,ellis ballard,corporate,united states,seattle,washington,98105,west,FUR-CH-10004997,furniture,chairs,hon every-day series multi-task chairs,451.152,2018,10,4,0.06685236768802229,0.00024839156691899855,1,0.0022165478597013866,7 days
570,571,CA-2018-164826,2018-12-28,2019-01-04,standard class,JF-15415,jennifer ferguson,consumer,united states,new york city,new york,10024,east,OFF-LA-10001297,office supplies,labels,avery 473,72.45,2018,12,4,0.2916666666666667,3.988892662180694e-05,1,0.013802622498274672,7 days
571,572,CA-2018-164826,2018-12-28,2019-01-04,standard class,JF-15415,jennifer ferguson,consumer,united states,new york city,new york,10024,east,OFF-FA-10000585,office supplies,fasteners,oic bulk pack metal binder clips,13.96,2018,12,4,0.15151515151515152,7.685982272469633e-06,1,0.07163323782234957,7 days
572,573,CA-2018-164826,2018-12-28,2019-01-04,standard class,JF-15415,jennifer ferguson,consumer,united states,new york city,new york,10024,east,OFF-BI-10001922,office supplies,binders,storex dura pro binders,33.264,2018,12,4,0.21705426356589147,1.83142202228818e-05,1,0.03006253006253006,7 days
573,574,CA-2018-164826,2018-12-28,2019-01-04,standard class,JF-15415,jennifer ferguson,consumer,united states,new york city,new york,10024,east,TEC-PH-10000347,technology,phones,cush cases heavy duty rugged cover case for samsung galaxy s5 - purple,14.85,2018,12,4,0.22727272727272727,8.175991170929373e-06,1,0.06734006734006734,7 days
574,575,CA-2017-127250,2017-11-03,2017-11-07,standard class,SF-20200,sarah foster,consumer,united states,marysville,washington,98270,west,OFF-AR-10003394,office supplies,art,newell 332,8.82,2017,11,4,0.13157894736842107,4.856043240915628e-06,1,0.11337868480725623,4 days
575,576,CA-2016-149713,2016-09-18,2016-09-22,second class,TG-21640,trudy glocke,consumer,united states,long beach,california,90805,west,OFF-PA-10004530,office supplies,paper,personal creations ink jet cards and labels,160.72,2016,9,3,0.5,8.848789905668477e-05,1,0.0062220009955201595,4 days
576,577,CA-2016-149713,2016-09-18,2016-09-22,second class,TG-21640,trudy glocke,consumer,united states,long beach,california,90805,west,OFF-PA-10001450,office supplies,paper,rediform s.o.s. phone message books,19.92,2016,9,3,1.0,1.0967390176761826e-05,1,0.0502008032128514,4 days
577,578,CA-2016-149713,2016-09-18,2016-09-22,second class,TG-21640,trudy glocke,consumer,united states,long beach,california,90805,west,OFF-SU-10001574,office supplies,supplies,acme value line scissors,7.3,2016,9,3,0.10526315789473685,4.019174110961914e-06,1,0.136986301369863,4 days
580,581,CA-2016-132906,2016-09-10,2016-09-14,standard class,CC-12145,charles crestani,consumer,united states,los angeles,california,90004,west,OFF-SU-10004498,office supplies,supplies,martin-yale premier letter opener,51.52,2016,9,3,0.21739130434782608,2.8365458931062715e-05,1,0.019409937888198756,4 days
581,582,CA-2018-145233,2018-12-01,2018-12-05,standard class,DV-13465,dianna vittorini,consumer,united states,denver,colorado,80219,west,TEC-PH-10004977,technology,phones,ge 30524ee4,470.376,2018,12,4,0.08888888888888888,0.0002589757591257289,1,0.0021259588074221476,4 days
582,583,CA-2018-145233,2018-12-01,2018-12-05,standard class,DV-13465,dianna vittorini,consumer,united states,denver,colorado,80219,west,TEC-PH-10000586,technology,phones,at&t sb67148 synj,105.584,2018,12,4,0.22222222222222224,5.813157251120585e-05,1,0.009471131989695408,4 days
583,584,CA-2018-145233,2018-12-01,2018-12-05,standard class,DV-13465,dianna vittorini,consumer,united states,denver,colorado,80219,west,OFF-AP-10000358,office supplies,appliances,fellowes basic home/office series surge protectors,31.152,2018,12,4,0.07142857142857142,1.715141258968295e-05,1,0.03210066769388803,4 days
584,585,CA-2018-145233,2018-12-01,2018-12-05,standard class,DV-13465,dianna vittorini,consumer,united states,denver,colorado,80219,west,OFF-BI-10002764,office supplies,binders,recycled pressboard report cover with reinforced top hinge,6.783,2018,12,4,0.09722222222222222,3.734528492418447e-06,1,0.14742739200943533,4 days
585,586,CA-2018-145233,2018-12-01,2018-12-05,standard class,DV-13465,dianna vittorini,consumer,united states,denver,colorado,80219,west,TEC-PH-10001254,technology,phones,jabra biz 2300 duo qd duo corded headset,406.368,2018,12,4,0.23529411764705885,0.00022373475960594123,1,0.0024608236869044808,4 days
586,587,CA-2016-128139,2016-07-03,2016-07-09,standard class,BD-11725,bruce degenhardt,consumer,united states,richmond,kentucky,40475,south,FUR-CH-10003956,furniture,chairs,novimex high-tech fabric mesh task chair,70.98,2016,7,3,0.07692307692307693,3.907958608165434e-05,1,0.014088475626937165,6 days
588,589,US-2017-156986,2017-03-20,2017-03-24,standard class,ZC-21910,zuschuss carroll,consumer,united states,salem,oregon,97301,west,TEC-PH-10003800,technology,phones,i.sound portable power - 8000 mah,84.784,2017,3,1,0.20512820512820515,4.6679679153944513e-05,1,0.011794678241177579,4 days
589,590,US-2017-156986,2017-03-20,2017-03-24,standard class,ZC-21910,zuschuss carroll,consumer,united states,salem,oregon,97301,west,OFF-PA-10002005,office supplies,paper,xerox 225,20.736,2017,3,1,0.10526315789473684,1.1416656762315925e-05,1,0.04822530864197531,4 days
590,591,US-2017-156986,2017-03-20,2017-03-24,standard class,ZC-21910,zuschuss carroll,consumer,united states,salem,oregon,97301,west,OFF-BI-10002498,office supplies,binders,clear mylar reinforcing strips,16.821,2017,3,1,0.04455445544554456,9.261168180889091e-06,1,0.059449497651744836,4 days
591,592,US-2017-156986,2017-03-20,2017-03-24,standard class,ZC-21910,zuschuss carroll,consumer,united states,salem,oregon,97301,west,OFF-PA-10004101,office supplies,paper,xerox 1894,10.368,2017,3,1,0.061068702290076333,5.708328381157963e-06,1,0.09645061728395062,4 days
592,593,CA-2015-135405,2015-01-09,2015-01-13,standard class,MS-17830,melanie seite,consumer,united states,laredo,texas,78041,central,OFF-AR-10004078,office supplies,art,newell 312,9.344,2015,1,1,0.03980099502487562,5.14454286203125e-06,1,0.10702054794520549,4 days
593,594,CA-2015-135405,2015-01-09,2015-01-13,standard class,MS-17830,melanie seite,consumer,united states,laredo,texas,78041,central,TEC-AC-10001266,technology,accessories,memorex micro travel drive 8 gb,31.2,2015,1,1,0.10434782608695652,1.7177840035892014e-05,1,0.032051282051282055,4 days
594,595,CA-2015-131450,2015-08-08,2015-08-15,standard class,LR-16915,lena radford,consumer,united states,san diego,california,92024,west,OFF-AP-10004708,office supplies,appliances,fellowes superior 10 outlet split surge protector,76.12,2015,8,3,0.08771929824561404,4.190952511320834e-05,1,0.013137151865475564,7 days
596,597,CA-2015-131450,2015-08-08,2015-08-15,standard class,LR-16915,lena radford,consumer,united states,san diego,california,92024,west,TEC-PH-10002398,technology,phones,at&t 1070 corded phone,445.96,2015,8,3,0.41666666666666663,0.0002455329981540514,1,0.0022423535743115977,7 days
597,598,CA-2015-131450,2015-08-08,2015-08-15,standard class,LR-16915,lena radford,consumer,united states,san diego,california,92024,west,FUR-FU-10001979,furniture,furnishings,dana halogen swing-arm architect lamp,327.76,2015,8,3,0.29411764705882354,0.0001804554118642297,1,0.00305101293629485,7 days
598,599,CA-2017-120180,2017-07-14,2017-07-16,first class,TP-21130,theone pippenger,consumer,united states,philadelphia,pennsylvania,19134,east,OFF-SU-10004115,office supplies,supplies,acme stainless steel office snips,11.632,2017,7,3,0.14285714285714285,6.404251131329998e-06,1,0.0859697386519945,2 days
599,600,US-2017-100720,2017-07-16,2017-07-21,standard class,CK-12205,chloris kastensmidt,consumer,united states,philadelphia,pennsylvania,19120,east,TEC-PH-10001425,technology,phones,mophie juice pack helium for iphone,143.982,2017,7,3,0.0909090909090909,7.927242833486552e-05,1,0.0069453126085205095,5 days
600,601,US-2017-100720,2017-07-16,2017-07-21,standard class,CK-12205,chloris kastensmidt,consumer,united states,philadelphia,pennsylvania,19120,east,TEC-PH-10003963,technology,phones,ge 2-jack phone line splitter,494.376,2017,7,3,0.2790697674418604,0.00027218948223026125,1,0.00202275191352331,5 days
601,602,US-2017-100720,2017-07-16,2017-07-21,standard class,CK-12205,chloris kastensmidt,consumer,united states,philadelphia,pennsylvania,19120,east,OFF-SU-10001574,office supplies,supplies,acme value line scissors,5.84,2017,7,3,0.08421052631578947,3.2153392887695313e-06,1,0.17123287671232876,5 days
604,605,CA-2015-149958,2015-03-15,2015-03-19,standard class,AS-10240,alan shonely,consumer,united states,tampa,florida,33614,south,OFF-BI-10000773,office supplies,binders,insertable tab post binder dividers,7.218,2015,3,1,0.10843373493975904,3.974027223688095e-06,1,0.13854253255749516,4 days
605,606,CA-2015-149958,2015-03-15,2015-03-19,standard class,AS-10240,alan shonely,consumer,united states,tampa,florida,33614,south,OFF-BI-10001543,office supplies,binders,gbc velobinder manual binding system,43.188,2015,3,1,0.05128205128205128,2.377809472660591e-05,1,0.023154579975919236,4 days
606,607,CA-2015-149958,2015-03-15,2015-03-19,standard class,AS-10240,alan shonely,consumer,united states,tampa,florida,33614,south,OFF-PA-10002120,office supplies,paper,xerox 1889,131.904,2015,3,1,0.2553191489361702,7.262262218250963e-05,1,0.007581271227559437,4 days
607,608,US-2015-105767,2015-05-23,2015-05-27,standard class,AR-10510,andrew roberts,consumer,united states,philadelphia,pennsylvania,19134,east,OFF-BI-10000848,office supplies,binders,angle-d ring binders,3.282,2015,5,2,0.08333333333333333,1.8069766345447948e-06,1,0.30469226081657524,4 days
608,609,US-2015-105767,2015-05-23,2015-05-27,standard class,AR-10510,andrew roberts,consumer,united states,philadelphia,pennsylvania,19134,east,OFF-AR-10001246,office supplies,art,newell 317,21.168,2015,5,2,0.2647058823529412,1.1654503778197505e-05,1,0.0472411186696901,4 days
609,610,US-2015-105767,2015-05-23,2015-05-27,standard class,AR-10510,andrew roberts,consumer,united states,philadelphia,pennsylvania,19134,east,TEC-PH-10003092,technology,phones,motorola l804,55.188,2015,5,2,0.09090909090909091,3.038495627887207e-05,1,0.018119881133579763,4 days
610,611,CA-2017-161816,2017-04-28,2017-05-01,first class,NB-18655,nona balk,corporate,united states,dallas,texas,75217,central,TEC-PH-10003012,technology,phones,nortel meridian m3904 professional digital phone,369.576,2017,4,2,0.08333333333333333,0.0002034781220866932,1,0.00270580340714765,3 days
611,612,CA-2017-161816,2017-04-28,2017-05-01,first class,NB-18655,nona balk,corporate,united states,dallas,texas,75217,central,OFF-LA-10004345,office supplies,labels,avery 493,15.712,2017,4,2,0.2807017543859649,8.650584059100492e-06,1,0.06364562118126273,3 days
612,613,CA-2017-121223,2017-09-11,2017-09-13,second class,GD-14590,giulietta dortch,corporate,united states,philadelphia,pennsylvania,19143,east,OFF-PA-10001204,office supplies,paper,xerox 1972,8.448,2017,9,3,0.18181818181818182,4.6512305327953765e-06,1,0.11837121212121211,2 days
614,615,CA-2018-138611,2018-11-14,2018-11-17,second class,CK-12595,clytie kelty,consumer,united states,grove city,ohio,43123,east,TEC-PH-10000011,technology,phones,puregear roll-on screen protector,119.94,2018,11,4,0.20979020979020982,6.603558121490026e-05,1,0.00833750208437552,3 days
615,616,CA-2018-138611,2018-11-14,2018-11-17,second class,CK-12595,clytie kelty,consumer,united states,grove city,ohio,43123,east,OFF-BI-10002949,office supplies,binders,prestige round ring binders,3.648,2018,11,4,0.04255319148936171,2.0084859118889125e-06,1,0.2741228070175438,3 days
618,619,CA-2018-117947,2018-08-18,2018-08-23,second class,NG-18355,nat gilpin,corporate,united states,new york city,new york,10011,east,OFF-BI-10002824,office supplies,binders,recycled easel ring binders,107.424,2018,8,3,0.3478260869565218,5.914462461588667e-05,1,0.009308906761989871,5 days
619,620,CA-2018-117947,2018-08-18,2018-08-23,second class,NG-18355,nat gilpin,corporate,united states,new york city,new york,10011,east,TEC-PH-10002538,technology,phones,grandstream gxp1160 voip phone,37.91,2018,8,3,0.04716981132075471,2.087217678720084e-05,1,0.026378264310208392,5 days
627,628,CA-2018-153787,2018-05-19,2018-05-23,standard class,AT-10735,annie thurman,consumer,united states,seattle,washington,98115,west,OFF-AP-10001563,office supplies,appliances,belkin premiere surge master ii 8-outlet surge protector,97.16,2018,5,2,0.10204081632653061,5.349355570151501e-05,1,0.01029230135858378,4 days
630,631,US-2017-135720,2017-12-11,2017-12-13,second class,FM-14380,fred mcmath,consumer,united states,aurora,colorado,80013,west,OFF-ST-10001963,office supplies,storage,tennsco regal shelving units,243.384,2017,12,4,0.1379310344827586,0.00013400036600306225,1,0.004108733523978569,2 days
631,632,US-2017-135720,2017-12-11,2017-12-13,second class,FM-14380,fred mcmath,consumer,united states,aurora,colorado,80013,west,TEC-AC-10001267,technology,accessories,imation 32gb pocket pro usb 3.0 flash drive - 32 gb - black - 1 p ...,119.8,2017,12,4,0.25641025641025644,6.595850116345716e-05,1,0.008347245409015025,2 days
632,633,US-2017-135720,2017-12-11,2017-12-13,second class,FM-14380,fred mcmath,consumer,united states,aurora,colorado,80013,west,TEC-PH-10002103,technology,phones,jabra speak 410,300.768,2017,12,4,0.09523809523809523,0.00016559437794599901,1,0.0033248217895520803,2 days
635,636,CA-2016-168004,2016-10-04,2016-10-09,second class,DJ-13420,denny joy,corporate,united states,warner robins,georgia,31088,south,FUR-CH-10001482,furniture,chairs,office star - mesh screen back chair with vinyl seat,392.94,2016,10,4,0.17857142857142858,0.00021634168152895542,1,0.0025449177991550874,5 days
636,637,US-2017-123470,2017-08-15,2017-08-21,standard class,ME-17725,max engle,consumer,united states,aurora,colorado,80013,west,OFF-BI-10001989,office supplies,binders,premium transparent presentation covers by gbc,18.882,2017,8,3,0.02506963788300836,1.0395896652490803e-05,1,0.05296049147336087,6 days
637,638,US-2017-123470,2017-08-15,2017-08-21,standard class,ME-17725,max engle,consumer,united states,aurora,colorado,80013,west,OFF-AP-10003287,office supplies,appliances,tripp lite tlp810net broadband surge for modem/fax,122.328,2017,8,3,0.15584415584415584,6.735034666380123e-05,1,0.00817474331305997,6 days
639,640,CA-2017-115917,2017-05-20,2017-05-25,standard class,RB-19465,rick bensley,home office,united states,vallejo,california,94591,west,OFF-BI-10004728,office supplies,binders,wilson jones turn tabs binder tool for ring binders,15.424,2017,5,2,0.07692307692307691,8.492019381846105e-06,1,0.06483402489626557,5 days
